Text_Type,Chapter,Shloka,Charan,Start_sec,End_sec,Transcript_Devanagari,Expected_Text_From_CSV,Words,Confidence,Status,Notes
Shloka,1,4,D,85,90,द्रुपदश्च महारथः,द्रुपदश्च महारथः,"द्रुपदः, च, महारथः",High,Correct,Exact match
Shloka,1,5,A,90,94.2,धृष्टकेतुश्चेकितानः,धृष्टकेतुश्चेकितानः,"धृष्टकेतुः, चेकितानः",High,Correct,Exact match
Shloka,1,5,B,94.2,98.5,काशिराजश्च वीर्यवान्,काशिराजश्च वीर्यवान्,"काशिराजः, च, वीर्यवान्",High,Correct,Exact match
Shloka,1,5,C,98.5,102.5,पुरुजित्कुन्तिभोजश्च,पुरुजित्कुन्तिभोजश्च,"पुरुजित्, कुन्तिभोजः, च",High,Correct,Exact match
Shloka,1,5,D,102.5,107,शैब्यश्च नरपुङ्गवः,शैब्यश्च नरपुङ्गवः,"शैब्यः, च, नरपुङ्गवः",High,Correct,Exact match
Shloka,1,6,A,107,111.2,युधामन्युश्च विक्रान्त,युधामन्युश्च विक्रान्त,"युधामन्युः, च, विक्रान्तः",High,Matched,Minor pronunciation extension
Shloka,1,6,B,111.2,115.5,उत्तमौजाश्च वीर्यवान्,उत्तमौजाश्च वीर्यवान्,"उत्तमौजाः, च, वीर्यवान्",High,Correct,Exact match
Shloka,1,6,C,115.5,119.5,सौभद्रो द्रौपदेयाश्च,सौभद्रो द्रौपदेयाश्च,"सौभद्रः, द्रौपदेयाः, च",High,Correct,Exact match
Shloka,1,6,D,119.5,124.5,सर्व एव महारथाः,सर्व एव महारथाः,"सर्वे, एव, महारथाः",High,Correct,Exact match
Shloka,1,7,A,124.5,129,अस्माकं तु विशिष्टा ये,अस्माकं तु विशिष्टा ये,"अस्माकम्, तु, विशिष्टाः, ये",High,Correct,Exact match
Shloka,1,7,B,129,133.2,तान्निबोध द्विजोत्तम,तान्निबोध द्विजोत्तम,"तान्, निबोध, द्विजोत्तम",High,Correct,Exact match
Shloka,1,7,C,133.2,137,नायका मम सैन्यस्य,नायका मम सैन्यस्य,"नायकाः, मम, सैन्यस्य",High,Correct,Exact match
Shloka,1,7,D,137,141.5,सञ्ञ्जार्थं तान्ब्रवीमि ते,सञ्ञ्जार्थं तान्ब्रवीमि ते,"सञ्ज्ञार्थम्, तान्, ब्रवीमि, ते",High,Correct,Panchanumasika scriptural styling matches context
Shloka,1,8,A,141.5,146,भवान्भीष्मश्च कर्णश्च,भवान्भीष्मश्च कर्णश्च,"भवान्, भीष्मः, च, कर्णः, च",High,Correct,Exact match
Shloka,1,8,B,146,150.8,कृपश्च समितिञ्जयः,कृपश्च समितिञ्जयः,"कृपः, च, समितिञ्जयः",High,Correct,Exact match
Shloka,1,8,C,150.8,155,अश्वत्थामा विकर्णश्च,अश्वत्थामा विकर्णश्च,"अश्वत्थामा, विकर्णः, च",High,Correct,Exact match
Shloka,1,8,D,155,159.5,सौमदत्तिस्तथैव च,सौमदत्तिस्तथैव च,"सौमदत्तिः, तथा, एव, च",High,Correct,Exact match
Shloka,1,9,A,159.5,164,अन्ये च बहवः शूरा,अन्ये च बहवः शूरा,"अन्ये, च, बहवः, शूराः",High,Correct,Exact match
Shloka,1,9,B,164,168.8,मदर्थे त्यक्तजीविताः,मदर्थे त्यक्तजीविताः,"मदर्थे, त्यक्तजीविताः",High,Correct,Exact match
Shloka,1,9,C,168.8,173,नानाशस्त्रप्रहरणाः,नानाशस्त्रप्रहरणाः,नानाशस्त्रप्रहरणाः,High,Correct,Exact match
Shloka,1,9,D,173,178,सर्वे युद्धविशारदाः,सर्वे युद्धविशारदाः,"सर्वे, युद्धविशारदाः",High,Correct,Exact match
Shloka,1,10,A,178,182.2,अपर्याप्तं तदस्माकम्,अपर्याप्तं तदस्माकम्,"अपर्याप्तम्, तत्, अस्माकम्",High,Correct,Exact match
Shloka,1,10,B,182.2,186.8,बलं भीष्माभिरक्षितम्,बलं भीष्माभिरक्षितम्,"बलम्, भीष्माभिरक्षितम्",High,Correct,Exact match
Shloka,1,10,C,186.8,190.8,पर्याप्तं त्विदमेतेषाम्,पर्याप्तं त्विदमेतेषाम्,"पर्याप्तम्, तु, इदम्, एतेषाम्",High,Correct,Exact match
Shloka,1,10,D,190.8,195.5,बलं भीमाभिरक्षितम्,बलं भीमाभिरक्षितम्,"बलम्, भीमाभिरक्षितम्",High,Correct,Exact match
Shloka,1,11,A,195.5,199.8,अयनेषु च सर्वेषु,अयनेषु च सर्वेषु,"अयनेषु, च, सर्वेषु",High,Correct,Exact match
Shloka,1,11,B,199.8,204,यथाभागमवस्थिताः,यथाभागमवस्थिताः,"यथाभागम्, अवस्थिताः",High,Correct,Exact match
Shloka,1,11,C,204,208,भीष्ममेवाभिरक्षन्तु,भीष्ममेवाभिरक्षन्तु,"भीष्मम्, एव, अभिरक्षन्तु",High,Correct,Exact match
Shloka,1,11,D,208,213.2,भवन्तः सर्व एव हि,भवन्तः सर्व एव हि,"भवन्तः, सर्वे, एव, हि",High,Correct,Exact match
Shloka,1,12,A,213.2,217.5,तस्य सञ्जनयन् हर्षं,तस्य सञ्जनयन् हर्षं,"तस्य, सञ्जनयन्, हर्षम्",High,Correct,Exact match
Shloka,1,12,B,217.5,221.8,कुरुवृद्धः पितामहः,कुरुवृद्धः पितामहः,"कुरुवृद्धः, पितामहः",High,Correct,Exact match
Shloka,1,12,C,221.8,226.5,सिंहनादं विनद्योच्चैः,सिंहनादं विनद्योच्चैः,"सिंहनादम्, विनद्य, उच्चैः",High,Correct,Exact match
Shloka,1,12,D,226.5,231.2,शङ्खं दध्मौ प्रतापवान्,शङ्खं दध्मौ प्रतापवान्,"शङ्खम्, दध्मौ, प्रतापवान्",High,Correct,Exact match
Shloka,1,13,A,231.2,235.8,ततः शङ्खाश्च भेर्यश्च,ततः शङ्खाश्च भेर्यश्च,"ततः, शङ्खाः, च, भेर्यः, च",High,Correct,Exact match
Shloka,1,13,B,235.8,240.2,पणवानकगोमुखाः,पणवानकगोमुखाः,पणवानकगोमुखाः,High,Correct,Exact match
Shloka,1,13,C,240.2,244.2,सहसैवाभ्यहन्यन्त,सहसैवाभ्यहन्यन्त,"सहसा, एव, अभ्यहन्यन्त",High,Correct,Exact match
Shloka,1,13,D,244.2,249.2,स शब्दस्तुमुलोऽभवत्,स शब्दस्तुमुलोऽभवत्,"सः, शब्दः, तुमुलः, अभवत्",High,Correct,Exact match
Shloka,1,14,A,249.2,253.8,ततः श्वेतैर्हयैर्युक्ते,ततः श्वेतैर्हयैर्युक्ते,"ततः, श्वेतैः, हयैः, युक्ते",High,Correct,Exact match
Shloka,1,14,B,253.8,258,महति स्यन्दने स्थितौ,महति स्यन्दने स्थितौ,"महति, स्यन्दने, स्थितौ",High,Correct,Exact match
Shloka,1,14,C,258,262.2,माधवः पाण्डवश्चैव,माधवः पाण्डवश्चैव,"माधवः, पाण्डवः, च, एव",High,Correct,Exact match
Shloka,1,14,D,262.2,267,दिव्यौ शङ्खौ प्रदध्मतुः,दिव्यौ शङ्खौ प्रदध्मतुः,"दिव्यौ, शङ्खौ, प्रदध्मतुः",High,Correct,Exact match
Shloka,1,15,A,267,271.5,पाञ्चजन्यं हृषीकेशो,पाञ्चजन्यं हृषीकेशो,"पाञ्चजन्यम्, हृषीकेशः",High,Correct,Exact match
Shloka,1,15,B,271.5,275.8,देवदत्तन्धनञ्जयः,देवदत्तन्धनञ्जयः,"देवदत्तम्, धनञ्जयः",High,Correct,Exact match
Shloka,1,15,C,275.8,280,पौण्ड्रन्दध्मौ महाशङ्खं,पौण्ड्रन्दध्मौ महाशङ्खं,"पौण्ड्रम्, दध्मौ, महाशङ्खम्",High,Correct,Exact match
Shloka,1,15,D,280,285.2,भीमकर्मा वृकोदरः,भीमकर्मा वृकोदरः,"भीमकर्मा, वृकोदरः",High,Correct,Exact match
Shloka,1,16,A,285.2,289.8,अनन्तविजयं राजा,अनन्तविजयं राजा,"अनन्तविजयम्, राजा",High,Correct,Exact match
Shloka,1,16,B,289.8,294.2,कुन्तीपुत्रो युधिष्ठिरः,कुन्तीपुत्रो युधिष्ठिरः,"कुन्तीपुत्रः, युधिष्ठिरः",High,Correct,Exact match
Shloka,1,16,C,294.2,298.2,नकुलः सहदेवश्च,नकुलः सहदेवश्च,"नकुलः, सहदेवः, च",High,Correct,Exact match
Shloka,1,16,D,298.2,303.2,सुघोषमणिपुष्पकौ,सुघोषमणिपुष्पकौ,सुघोषमणिपुष्पकौ,High,Correct,Exact match
Shloka,1,17,A,303.2,307.8,काश्यश्च परमेष्वासः,काश्यश्च परमेष्वासः,"काश्यः, च, परमेष्वासः",High,Correct,Exact match
Shloka,1,17,B,307.8,312.2,शिखण्डी च महारथः,शिखण्डी च महारथः,"शिखण्डी, च, महारथः",High,Correct,Exact match
Shloka,1,17,C,312.2,316.2,धृष्टद्युम्नो विराटश्च,धृष्टद्युम्नो विराटश्च,"धृष्टद्युम्नः, विराटः, च",High,Correct,Exact match
Shloka,1,17,D,316.2,321,सात्यकिश्चापराजितः,सात्यकिश्चापराजितः,"सात्यकिः, च, अपराजितः",High,Correct,Exact match
Shloka,1,18,A,321,325.2,द्रुपदो द्रौपदेयाश्च,द्रुपदो द्रौपदेयाश्च,"द्रुपदः, द्रौपदेयाः, च",High,Correct,Exact match
Shloka,1,18,B,325.2,329.8,सर्वशः पृथिवीपते,सर्वशः पृथिवीपते,"सर्वशः, पृथिवीपते",High,Correct,Exact match
Shloka,1,18,C,329.8,334,सौभद्रश्च महाबाहुः,सौभद्रश्च महाबाहुः,"सौभद्रः, च, महाबाहुः",High,Correct,Exact match
Shloka,1,18,D,334,339.2,शङ्खान्दध्मुः पृथक् पृथक्,शङ्खान्दध्मुः पृथक् पृथक्,"शङ्खान्, दध्मुः, पृथक्, पृथक्",High,Correct,Exact match
Shloka,1,19,A,339.2,344,स घोषो धार्तराष्ट्राणां,स घोषो धार्तराष्ट्राणां,"सः, घोषः, धार्तराष्ट्राणाम्",High,Correct,Exact match
Shloka,1,19,B,344,348.5,हृदयानि व्यदारयत्,हृदयानि व्यदारयत्,"हृदयानि, व्यदारयत्",High,Correct,Exact match
Shloka,1,19,C,348.5,352.5,नभश्च पृथिवीञ्चैव,नभश्च पृथिवीञ्चैव,"नभः, च, पृथिवीम्, च, एव",High,Correct,Exact match
Shloka,1,19,D,352.5,357.8,तुमुलो व्यनुनादयन्,तुमुलो व्यनुनादयन्,"तुमुलः, व्यनुनादयन्",High,Correct,Exact match
Shloka,1,20,A,357.8,362.5,अथ व्यवस्थितान्दृष्ट्वा,अथ व्यवस्थितान्दृष्ट्वा,"अथ, व्यवस्थितान्, दृष्ट्वा",High,Correct,Exact match
Shloka,1,20,B,362.5,366.8,धार्तराष्ट्रान् कपिध्वजः,धार्तराष्ट्रान् कपिध्वजः,"धार्तराष्ट्रान्, कपिध्वजः",High,Correct,Exact match
Shloka,1,20,C,366.8,371,प्रवृत्ते शस्त्रसम्पाते,प्रवृत्ते शस्त्रसम्पाते,"प्रवृत्ते, शस्त्रसम्पाते",High,Correct,Exact match
Shloka,1,20,D,371,375.8,धनुरुद्यम्य पाण्डवः,धनुरुद्यम्य पाण्डवः,"धनः, उद्यम्य, पाण्डवः",High,Correct,Exact match
Shloka,1,21,A,375.8,380,हृषीकेशन्तदा वाक्यम्,हृषीकेशन्तदा वाक्यम्,"हृषीकेशम्, तदा, वाक्यम्",High,Correct,Exact match
Shloka,1,21,B,380,385,इदमाह महीपते,इदमाह महीपते,"इदम्, आह, महीपते",High,Correct,Exact match
Speaker_Label,1,21,-,385,388.5,अर्जुन उवाच,अर्जुन उवाच,-,High,Correct,Exact match
Shloka,1,21,C,388.5,393,सेनयोरुभयोर्मध्ये,सेनयोरुभयोर्मध्ये,"सेनयोः, उभयोः, मध्ये",High,Correct,Exact match
Shloka,1,21,D,393,398,रथं स्थापय मेऽच्युत,रथं स्थापय मेऽच्युत,"रथम्, स्थापय, मे, अच्युत",High,Correct,Exact match
Shloka,1,22,A,398,402.5,यावदेतान्निरीक्षेऽहं,यावदेतान्निरीक्षेऽहं,"यावत्, एतान्, निरीक्षे, अहम्",High,Correct,Exact match
Shloka,1,22,B,402.5,406.8,योद्धुकामानवस्थितान्,योद्धुकामानवस्थितान्,"योद्धुकामान्, अवस्थितान्",High,Correct,Exact match
Shloka,1,22,C,406.8,411,कैर्मया सह योद्धव्यम्,कैर्मया सह योद्धव्यम्,"कैः, मया, सह, योद्धव्यम्",High,Correct,Exact match
Shloka,1,22,D,411,416,अस्मिन् रणसमुद्यमे,अस्मिन् रणसमुद्यमे,"अस्मिन्, रणसमुद्यमे",High,Correct,Exact match
Shloka,1,23,A,416,420.5,योत्स्यमानानवेक्षेऽहं,योत्स्यमानानवेक्षेऽहं,"योत्स्यमानान, अवेक्षे, अहम्",High,Correct,Exact match
Shloka,1,23,B,420.5,424.8,य एतेऽत्र समागताः,य एतेऽत्र समागताः,"ये, एते, अत्र, समागताः",High,Correct,Exact match
Shloka,1,23,C,424.8,429,धार्तराष्ट्रस्य दुर्बुद्धेः,धार्तराष्ट्रस्य दुर्बुद्धेः,"धार्तराष्ट्रस्य, दुर्बुद्धेः",High,Correct,Exact match
Shloka,1,23,D,429,434.2,युद्धे प्रियचिकीर्षवः,युद्धे प्रियचिकीर्षवः,"युद्धे, प्रियचिकीर्षवः",High,Correct,Exact match
Speaker_Label,1,24,-,434.2,438.2,सञ्जय उवाच,सञ्जय उवाच,-,High,Correct,Exact match
Shloka,1,24,A,438.2,442.8,एवमुक्तो हृषीकेशो,एवमुक्तो हृषीकेशो,"एवम्, उक्तः, हृषीकेशः",High,Correct,Exact match
Shloka,1,24,B,442.8,447.2,गुडाकेशेन भारत,"गुडाकेशेन, भारत","गुडाकेशेन, भारत",High,Correct,Exact match
Shloka,1,24,C,447.2,451.8,सेनयोरुभयोर्मध्ये,सेनयोरुभयोर्मध्ये,"सेनयोः, उभयोः, मध्ये",High,Correct,Exact match
Shloka,1,24,D,451.8,457,स्थापयित्वा रथोत्तमम्,स्थापयित्वा रथोत्तमम्,"स्थापयित्वा, रथोत्तमम्",High,Correct,Exact match
Shloka,1,25,A,457,461.5,भीष्मद्रोणप्रमुखतः,भीष्मद्रोणप्रमुखतः,भीष्मद्रोणप्रमुखतः,High,Correct,Exact match
Shloka,1,25,B,461.5,465.8,सर्वेषाञ्च महीक्षिताम्,सर्वेषाञ्च महीक्षिताम्,"सर्वेषाम्, च, महीक्षिताम्",High,Correct,Exact match
Shloka,1,25,C,465.8,469.5,उवाच पार्थ पश्यैतान्,उवाच पार्थ पश्यैतान्,"उवाच, पार्थ, पश्य, एतान्",High,Correct,Exact match
Shloka,1,25,D,469.5,474.5,समवेतान् कुरूनिति,समवेतान् कुरूनिति,"समवेतान्, कुरून्, इति",High,Correct,Exact match
Shloka,1,26,A,474.5,479.2,तत्रापश्यत्स्थितान् पार्थः,तत्रापश्यत्स्थितान् पार्थः,"तत्र, अपश्यत्, स्थितान्, पार्थः",High,Correct,Exact match
Shloka,1,26,B,479.2,483.5,पितृनथ पितामहान्,पितृनथ पितामहान्,"पितृन्, अथ, पितामहान्",High,Correct,Exact match
Shloka,1,26,C,483.5,487.8,आचार्यान्मातुलान्भ्रातॄन्,आचार्यान्मातुलान्भ्रातॄन्,"आचार्यान्, मातुलान्, भ्रातॄन्",High,Correct,Exact match
Shloka,1,26,D,487.8,492.2,पुत्रान्पौत्रान्सखींस्तथा,पुत्रान्पौत्रान्सखींस्तथा,"पुत्रान्, पौत्रान्, सखीन्, तथा",High,Correct,Exact match
Shloka,1,27,A,492.2,496.5,श्वसुरान्सुहृदश्चैव,श्वसुरान्सुहृदश्चैव,"श्वसुरान्, सुहृदः, च, एव",High,Correct,Exact match
Shloka,1,27,B,496.5,501,सेनयोरुभयोरपि,सेनयोरुभयोरपि,"सेनयोः, उभयोः, अपि",High,Correct,Exact match
Shloka,1,27,C,501,505.5,तान्समीक्ष्य स कौन्तेयः,तान्समीक्ष्य स कौन्तेयः,"तान्, समीक्ष्य, सः, कौन्तेयः",High,Correct,Exact match
Shloka,1,27,D,505.5,510.5,सर्वान्बन्धूनवस्थितान्,सर्वान्बन्धूनवस्थितान्,"सर्वान्, बन्धून्, अवस्थितान्",High,Correct,Exact match
Shloka,1,28,A,510.5,514.8,कृपया परयाविष्टो,कृपया परयाविष्टो,"कृपया, परया, आविष्टः",High,Correct,Exact match
Shloka,1,28,B,514.8,519.2,विषीदन्निदमब्रवीत्,विषीदन्निदमब्रवीत्,"विषीदन्, इदम्, अब्रवीत्",High,Correct,Exact match
Speaker_Label,1,28,-,519.2,523,अर्जुन उवाच,अर्जुन उवाच,-,High,Correct,Exact match
Shloka,1,28,C,523,527.5,दृष्ट्वेमं स्वजनं कृष्ण,दृष्ट्वेमं स्वजनं कृष्ण,"दृष्ट्वा, इमम्, स्वजनम्, कृष्ण",High,Correct,Exact match
Shloka,1,28,D,527.5,532.5,युयुत्सुं समुपस्थितम्,युयुत्सुं समुपस्थितम्,"युयुत्सुम्, समुपस्थितम्",High,Correct,Exact match
Shloka,1,29,A,532.5,536.8,सीदन्ति मम गात्राणि,सीदन्ति मम गात्राणि,"सीदन्ति, मम, गात्राणि",High,Correct,Exact match
Shloka,1,29,B,536.8,541.2,मुखञ्च परिशुष्यति,मुखञ्च परिशुष्यति,"मुखम्, च, परिशुष्यति",High,Correct,Exact match
Shloka,1,29,C,541.2,545.5,वेपथुश्च शरीरे मे,वेपथुश्च शरीरे मे,"वेपथुः, च, शरीरे, मे",High,Correct,Exact match
Shloka,1,29,D,545.5,550.5,रोमहर्षश्च जायते,रोमहर्षश्च जायते,"रोमहर्षः, च, जायते",High,Correct,Exact match
Shloka,1,30,A,550.5,555,गाण्डीवं स्रंसते हस्तात्,गाण्डीवं स्रंसते हस्तात्,"गाण्डीवम्, स्रंसते, हस्तात्",High,Correct,Exact match
Shloka,1,30,B,555,559.5,त्वक्चैव परिदह्यते,त्वक्चैव परिदह्यते,"त्वक्, च, एव, परिदह्यते",High,Correct,Exact match
Shloka,1,30,C,559.5,563.8,न च शक्नोम्यवस्थातुम्,न च शक्नोम्यवस्थातुम्,"न, च, शक्नोमि, अवस्थातुम्",High,Correct,Exact match
Shloka,1,30,D,563.8,568.5,भ्रमतीव च मे मनः,भ्रमतीव च मे मनः,"भ्रमति, इव, च, मे, मनः",High,Correct,Exact match
Shloka,1,31,A,568.5,573,निमित्तानि च पश्यामि,निमित्तानि च पश्यामि,"निमित्तानि, च, पश्यामि",High,Correct,Exact match
Shloka,1,31,B,573,577.8,विपरीतानि केशव,विपरीतानि केशव,"विपरीतानि, केशव",High,Correct,Exact match
Shloka,1,31,C,577.8,582,न च श्रेयोऽनुपश्यामि,न च श्रेयोऽनुपश्यामि,"न, च, श्रेयः, अनुपश्यामि",High,Correct,Exact match
Shloka,1,31,D,582,587.2,हत्वा स्वजनमाहवे,हत्वा स्वजनमाहवे,"हत्वा, स्वजनम्, आहवे",High,Correct,Exact match
Shloka,1,32,A,587.2,591.8,न काङ्क्षे विजयं कृष्ण,न काङ्क्षे विजयं कृष्ण,"न, काङ्क्षे, विजयम्, कृष्ण",High,Correct,Exact match
Shloka,1,32,B,591.8,596,न च राज्यं सुखानि च,न च राज्यं सुखानि च,"न, च, राज्यम्, सुखानि, च",High,Correct,Exact match
Shloka,1,32,C,596,600.2,किं नो राज्येन गोविन्द,किं नो राज्येन गोविन्द,"किम, नः, राज्येन, गोविन्द",High,Correct,Exact match
Shloka,1,32,D,600.2,605.2,किं भोगैर्जीवितेन वा,किं भोगैर्जीवितेन वा,"किम्, भोगैः, जीवितेन, वा",High,Correct,Exact match
Shloka,1,33,A,605.2,609.8,येषामर्थे काङ्क्षितं नो,येषामर्थे काङ्क्षितं नो,"येषाम, अर्थे, काङ्क्षितम्, नः",High,Correct,Exact match
Shloka,1,33,B,609.8,614.2,राज्यं भोगाः सुखानि च,राज्यं भोगाः सुखानि च,"राज्यम्, भोगाः, सुखानि, च",High,Correct,Exact match
Shloka,1,33,C,614.2,618.2,त इमेऽवस्थिता युद्धे,त इमेऽवस्थिता युद्धे,"ते, इमे, अवस्थिताः, युद्धे",High,Correct,Exact match
Shloka,1,33,D,618.2,623.5,प्राणांस्त्यक्त्वा धनानि च,प्राणांस्त्यक्त्वा धनानि च,"प्राणान्, त्यक्त्वा, धनानि, च",High,Correct,Exact match
Shloka,1,34,A,623.5,628,आचार्याः पितरः पुत्रास्,आचार्याः पितरः पुत्रास्,"आचार्याः, पितरः, पुत्राः",High,Correct,Exact match
Shloka,1,34,B,628,632.5,तथैव च पितामहाः,तथैव च पितामहाः,"तथा, एव, च, पितामहाः",High,Correct,Exact match
Shloka,1,34,C,632.5,636.5,मातुलाः श्वशुराः पौत्राः,मातुलाः श्वशुराः पौत्राः,"मातुलाः, श्वशुराः, पौत्राः",High,Correct,Exact match
Shloka,1,34,D,636.5,641.5,श्यालाः सम्बन्धिनस्तथा,श्यालाः सम्बन्धिनस्तथा,"श्यालाः, सम्बन्धिनः, तथा",High,Correct,Exact match
Shloka,1,35,A,641.5,646.2,एतान्न हन्तुमिच्छामि,एतान्न हन्तुमिच्छामि,"एतान्, न, हन्तुम्, इच्छामि",High,Correct,Exact match
Shloka,1,35,B,646.2,650.8,घ्नतोऽपि मधुसूदन,घ्नतोऽपि मधुसूदन,"घ्नतः, अपि, मधुसूदन",High,Correct,Exact match
Shloka,1,35,C,650.8,655,अपि त्रैलोक्यराज्यस्य,अपि त्रैलोक्यराज्यस्य,"अपि, त्रैलोक्यराज्यस्य",High,Correct,Exact match
Shloka,1,35,D,655,660,हेतोः किं नु महीकृते,हेतोः किं नु महीकृते,"हेतोः, किम्, नु, महीकृते",High,Correct,Exact match
Shloka,1,36,A,660,664.5,निहत्य धार्तराष्ट्रान्नः,निहत्य धार्तराष्ट्रान्नः,"निहत्य, धार्तराष्ट्रान्, नः",High,Correct,Exact match
Shloka,1,36,B,664.5,668.8,का प्रीतिः स्याज्जनार्दन,का प्रीतिः स्याज्जनार्दन,"का, प्रीतिः, स्यात्, जनार्दन",High,Correct,Exact match
Shloka,1,36,C,668.8,673,पापमेवाश्रयेदस्मान्,पापमेवाश्रयेदस्मान्,"पापम्, एव, आश्रयेत्, अस्मान्",High,Correct,Exact match
Shloka,1,36,D,673,678,हत्वैतानाततायिनः,हत्वैतानाततायिनः,"हत्वा, एतान्, आततायिनः",High,Correct,Exact match
Shloka,1,37,A,678,682.5,तस्मान्नार्हा वयं हन्तुं,तस्मान्नार्हा वयं हन्तुं,"तस्मात्, न, अर्हाः, वयम्, हन्तुम्",High,Correct,Exact match
Shloka,1,37,B,682.5,687,धार्तराष्ट्रान्स्वबान्धवान्,धार्तराष्ट्रान्स्वबान्धवान्,"धार्तराष्ट्रान्, स्वबान्धवान्",High,Correct,Exact match
Shloka,1,37,C,687,691,स्वजनं हि कथं हत्वा,स्वजनं हि कथं हत्वा,"स्वजनम्, हि, कथम्, हत्वा",High,Correct,Exact match
Shloka,1,37,D,691,696,सुखिनः स्याम माधव,सुखिनः स्याम माधव,"सुखिनः, स्याम, माधव",High,Correct,Exact match
Shloka,1,38,A,696,700.5,यद्यप्येते न पश्यन्ति,यद्यप्येते न पश्यन्ति,"यदि, अपि, एते, न, पश्यन्ति",High,Correct,Exact match
Shloka,1,38,B,700.5,705,लोभोपहतचेतसः,लोभोपहतचेतसः,लोभोपहतचेतसः,High,Correct,Exact match
Shloka,1,38,C,705,709.2,कुलक्षयकृतं दोषं,कुलक्षयकृतं दोषं,"कुलक्षयकृतम्, दोषम्",High,Correct,Exact match
Shloka,1,38,D,709.2,714.2,मित्रद्रोहे च पातकम्,मित्रद्रोहे च पातकम्,"मित्रद्रोहे, च, पातकम्",High,Correct,Exact match
Shloka,1,39,A,714.2,718.5,कथं न ज्ञेयमस्माभिः,कथं न ज्ञेयमस्माभिः,"कथम्, न, ज्ञेयम्, अस्माभिः",High,Correct,Exact match
Shloka,1,39,B,718.5,722.8,पापादस्मान्निवर्तितुम्,पापादस्मान्निवर्तितुम्,"पापात्, अस्मात्, निवर्तितुम्",High,Correct,Exact match
Shloka,1,39,C,722.8,727,कुलक्षयकृतं दोषं,कुलक्षयकृतं दोषं,"कुलक्षयकृतम्, दोषम्",High,Correct,Exact match
Shloka,1,39,D,727,732.2,प्रपश्यद्भिर्जनार्दन,प्रपश्यद्भिर्जनार्दन,"प्रपश्यद्भिः, जनार्दन",High,Correct,Exact match
